Concepto,Inercia,Viscosidad,Gradiente,Escala_Optima,Pearson_Fidelidad,Spearman_Fidelidad
AVIÓN,290.3310,2.6371,440.3714,0.8900,96.48,96.28
AZÚCAR,305.2312,2.7004,452.1274,0.8800,96.72,96.49
BARCO,293.5741,2.6217,447.9189,0.8800,96.21,95.67
BICICLETA,303.9012,2.6835,452.9907,0.8900,96.16,94.84
CABALLO,316.1283,2.9839,423.7758,0.8800,96.73,95.87
CASA,267.3018,2.4736,432.2515,0.9000,95.62,94.63
CIUDAD,267.7706,2.4479,437.5429,0.9000,95.62,94.63
COMPUTADORA,285.2470,2.5883,440.8268,0.8900,96.39,96.28
DINERO,267.3560,2.4719,432.6314,0.9000,95.65,96.08
ESCUELA,276.3225,2.6334,419.7129,0.9000,96.38,95.87
FLOR,268.3493,2.4701,434.5542,0.8900,96.06,94.84
FUEGO,285.8727,2.5822,442.8329,0.8900,96.41,96.28
GATO,320.5551,2.9713,431.5315,0.8800,96.59,96.49
LIBRO,269.8335,2.4722,436.5797,0.9000,95.53,95.25
LLUVIA,303.0191,2.6937,449.9693,0.8800,97.06,96.28
LUNA,285.9994,2.6580,430.4041,0.9000,95.94,95.25
MANZANA,298.9055,2.7847,429.3575,0.8900,96.54,95.67
MAR,266.4886,2.4575,433.7628,0.8900,96.01,95.46
MÉDICO,272.5107,2.4727,440.8300,0.9000,95.42,94.63
MÚSICA,271.4128,2.4665,440.1643,0.9000,95.46,94.63
PAN,267.8541,2.4240,442.0020,0.8900,95.87,95.46
PERRO,320.2912,3.0293,422.9226,0.8800,96.68,96.08
PERSONA,269.3716,2.4701,436.2176,0.9000,95.29,94.43
PÁJARO,297.6887,2.7849,427.5817,0.8800,96.62,96.90
RELOJ,298.6049,2.7303,437.4659,0.8900,96.47,95.25
SOL,275.5790,2.4548,449.0446,0.8900,95.64,95.46
VENTANA,260.2289,2.4363,427.2579,0.9000,95.35,94.01
ZAPATO,305.1935,2.5665,475.6540,0.8800,96.23,96.28
ÁRBOL,296.5451,2.7274,434.9168,0.8900,97.00,96.08
