Concepto,Inercia,Viscosidad,Gradiente,Escala_Optima,Pearson_Fidelidad,Spearman_Fidelidad
AVIÓN,290.3310,2.6371,440.3714,0.8900,96.50,95.46
AZÚCAR,305.2312,2.7004,452.1274,0.8800,96.74,96.49
BARCO,293.5741,2.6217,447.9189,0.8800,96.23,95.67
BICICLETA,303.9012,2.6835,452.9907,0.8900,96.18,94.84
CABALLO,316.1283,2.9839,423.7758,0.8800,96.74,95.87
CASA,267.3018,2.4736,432.2515,0.9000,95.64,94.22
CIUDAD,267.7706,2.4479,437.5429,0.9000,95.64,94.22
COMPUTADORA,285.2470,2.5883,440.8268,0.8900,96.41,96.28
DINERO,267.3560,2.4719,432.6314,0.9000,95.67,95.67
ESCUELA,276.3225,2.6334,419.7129,0.9000,96.40,95.87
FLOR,268.3493,2.4701,434.5542,0.8900,96.08,94.84
FUEGO,285.8727,2.5822,442.8329,0.8900,96.43,96.28
GATO,320.5551,2.9713,431.5315,0.8800,96.60,96.08
HONGO,279.2321,2.6020,429.2634,0.9000,96.37,96.28
JUSTICIA,292.1798,2.5958,450.2294,0.9000,95.43,95.46
LAVA,263.1359,2.4546,428.8049,0.9000,95.90,96.70
LIBRO,269.8335,2.4722,436.5797,0.9000,95.55,94.84
LLUVIA,303.0191,2.6937,449.9693,0.8800,97.08,96.28
LOBO,280.8266,2.5831,434.8684,0.8900,96.22,95.46
LUNA,285.9994,2.6580,430.4041,0.9000,95.96,95.25
MANZANA,298.9055,2.7847,429.3575,0.8900,96.56,95.67
MAR,266.4886,2.4575,433.7628,0.8900,96.03,95.46
MÉDICO,272.5107,2.4727,440.8300,0.9000,95.44,93.40
MÚSICA,271.4128,2.4665,440.1643,0.9000,95.48,94.22
PAN,267.8541,2.4240,442.0020,0.8900,95.89,95.46
PERRO,320.2912,3.0293,422.9226,0.8800,96.69,96.08
PERSONA,269.3716,2.4701,436.2176,0.9000,95.31,94.01
PÁJARO,297.6887,2.7849,427.5817,0.8800,96.64,96.90
RELOJ,298.6049,2.7303,437.4659,0.8900,96.49,95.25
SATÉLITE,308.3186,2.7313,451.5259,0.8800,96.84,96.28
SOL,275.5790,2.4548,449.0446,0.8900,95.66,95.46
VENTANA,260.2289,2.4363,427.2579,0.9000,95.37,94.01
ZAPATO,305.1935,2.5665,475.6540,0.8800,96.25,96.28
ÁRBOL,296.5451,2.7274,434.9168,0.8900,97.02,96.08
